"Year","Mean","Median"
"2000","18581","13237"
"2001","16185","12117"
"2002","19374","13301"
"2003","19371","13251"
"2004","17879","12040"
"2005","18099","12310"
"2006","17169","12586"
"2007","17490","13203"
"2008","14876","9338"
"2009","15183","9566"
"2010","17963","13213"
"2011","16965","10831"
"2012","19149","12448"
"2013","16523","11491"
"2014","18273","12715"
"2015","17911","11390"
"2016","17747","12299"
"2017","21087","12572"
"2018","16945","10574"
"2019","12495","6530"
"2020","13929","9303"
